finishing_position,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,win_odds,race_course,race_class,race_distance,track_condition,race_name,track,Season,recent_6_runs,recent_ave_rank,jockey_ave_rank,track_condition_id,race_course_id,track_id,season_id
7,ARGENTUM,T201,C Y Ho,D J Hall,127,1041,11,28,Happy Valley,Class 4,1200,GOOD,PERCIVAL HANDICAP,"TURF - ""B"" COURSE",Winter,7/9/6/9/11/12,9.285714285714286,7.03235082674335,1,1,4,2
9,RULE THEE,A172,K C Leung,P O'Sullivan,123,1082,14,99,Sha Tin,Class 3,1600,GOOD TO FIRM,AUDEMARS PIGUET MILLENARY HANDICAP,"TURF - ""A"" COURSE",Spring,9/10/8,9.0,6.729086722947045,2,0,1,1
5,JOLLY SPRING,P395,N Callan,D E Ferraris,133,1128,4,8.6,Happy Valley,Class 4,1200,GOOD,KAM SHAN HANDICAP,"TURF - ""B"" COURSE",Autumn,5/5/2/7,4.75,6.066800267201069,1,1,4,3
5,HAPPY AND HEALTHY,T056,M F Poon,D J Hall,119,1103,11,12,Sha Tin,Class 4,1400,GOOD TO FIRM,AUDEMARS PIGUET ROYAL OAK OFFSHORE HANDICAP,"TURF - ""A"" COURSE",Spring,5/1/9/6/4/2,6.041666666666667,5.076923076923077,2,0,1,1
8,GOLDEN CHOICE,S157,K Teetan,A T Millard,118,1072,10,99,Happy Valley,Class 4,1000,GOOD TO FIRM,HEREFORD HANDICAP,"TURF - ""C+3"" COURSE",Spring,8/12/11,10.333333333333334,6.2772397094431,2,1,3,1
3,LET ME DO,S316,M Guyon,W Y So,117,1101,3,5,Happy Valley,Class 3,1200,GOOD,SPORTS ROAD HANDICAP,"TURF - ""C"" COURSE",Winter,3/5/9/6,5.75,6.416666666666667,1,1,2,2
5,KWAICHUNG BROTHERS,A012,T H So,R Gibson,114,1140,3,60,Happy Valley,Class 4,1000,GOOD,LOCKHART HANDICAP,"TURF - ""A"" COURSE",Spring,5/8/12/11/11,9.4,7.666300768386389,1,1,1,1
10,TRIUMPHANT JEWEL,P310,K K Chiong,D Cruz,122,1113,11,33,Happy Valley,Class 3,1000,GOOD TO FIRM,THE VICTORIA RACING CLUB TROPHY (HANDICAP),"TURF - ""C+3"" COURSE",Spring,10/6/8/11/8/4,5.783783783783784,6.400593471810089,2,1,3,1
8,OCEAN ROAR,N317,M L Yeung,A Lee,130,1203,1,17,Happy Valley,Class 4,1000,GOOD,LOK WAH HANDICAP,"TURF - ""B"" COURSE",Winter,8/11/11/8/10/9,6.903225806451613,6.9703356752537085,1,1,4,2
4,KING BOUNTIFUL,T105,K Teetan,J Size,126,1111,7,25,Happy Valley,Class 4,1650,GOOD TO FIRM,NGAU TAU KOK HANDICAP,"TURF - ""C"" COURSE",Autumn,4/10/8/1/1/4,6.631578947368421,6.2772397094431,2,1,2,3
2,STAR OF YAN OI,T389,H T Mo,T P Yung,109,1266,2,99,Sha Tin,Class 3,1200,GOOD,HEBE HILL HANDICAP,ALL WEATHER TRACK,Autumn,2/12,7.0,6.512915129151292,1,0,5,3
3,MAGICAL BEAUTY,T342,Z Purton,A S Cruz,132,1116,1,4.9,Sha Tin,Class 3,1650,GOOD,PAK TAM CHUNG HANDICAP,ALL WEATHER TRACK,Winter,3/3/12/3/1/1,3.823529411764706,4.934573444515715,1,0,5,2
